"sim","method","n.dims","fn","fp"
9,"CCA-LDA",13,1,0
9,"CCA-LDA",14,0,0
9,"CCA-LDA",15,0,0
9,"CCA-LDA",16,0,0
9,"CCA-LDA",17,0,0
9,"CCA-LDA",18,0,0
9,"CCA-LDA",19,0,0
9,"CCA-LDA",20,0,0
9,"CCA-LDA",21,0,0
9,"CCA-LDA",22,0,0
9,"CCA-LDA",23,0,0
9,"CCA-LDA",24,0,0
9,"CCA-LDA",25,0,0
9,"CCA-LDA",26,0,0
9,"CCA-LDA",27,0,0
9,"CCA-LDA",28,0,0
9,"CCA-LDA",29,0,0
9,"CCA-LDA",30,0,0
9,"CCA-LDA",31,0,0
9,"CCA-LDA",32,0,0
9,"CCA-LDA",33,0,0
9,"CCA-LDA",34,0,0
9,"CCA-LDA",35,0,0
9,"CCA-LDA",36,0,0
9,"CCA-LDA",37,0,0
9,"CCA-LDA",38,0,0
9,"CCA-LDA",39,0,0
9,"PCA-LDA",2,8,10
9,"PCA-LDA",3,8,5
9,"PCA-LDA",4,6,7
9,"PCA-LDA",5,2,5
9,"PCA-LDA",6,2,4
9,"PCA-LDA",7,1,4
9,"PCA-LDA",8,0,4
9,"PCA-LDA",9,0,3
9,"PCA-LDA",10,0,3
9,"PCA-LDA",11,0,3
9,"PCA-LDA",12,0,3
9,"PCA-LDA",13,0,3
9,"PCA-LDA",14,0,2
9,"PCA-LDA",15,0,2
9,"PCA-LDA",16,0,2
9,"PCA-LDA",17,0,1
9,"PCA-LDA",18,0,0
9,"PCA-LDA",19,0,0
9,"PCA-LDA",20,0,0
9,"PCA-LDA",21,0,0
9,"PCA-LDA",22,0,0
9,"PCA-LDA",23,0,0
9,"PCA-LDA",24,0,0
9,"PCA-LDA",25,0,0
9,"PCA-LDA",26,0,0
9,"PCA-LDA",27,0,0
9,"PCA-LDA",28,0,0
9,"PCA-LDA",29,0,0
9,"PCA-LDA",30,0,0
9,"PCA-LDA",31,0,0
9,"PCA-LDA",32,0,0
9,"PCA-LDA",33,0,0
9,"PCA-LDA",34,0,0
9,"PCA-LDA",35,0,0
