"method","n.dims","left.out.obs","fn","fp"
"CCA-LDA",20,5,10,11
"CCA-LDA",20,6,11,13
"CCA-LDA",20,7,9,13
"CCA-LDA",20,8,6,8
"CCA-LDA",20,9,9,14
"CCA-LDA",20,10,8,7
"CCA-LDA",20,11,8,10
"CCA-LDA",20,12,10,10
"CCA-LDA",20,13,9,10
"CCA-LDA",20,14,8,10
"CCA-LDA",20,15,8,12
"CCA-LDA",20,16,7,12
"CCA-LDA",20,17,8,10
"CCA-LDA",20,18,9,13
"CCA-LDA",20,19,8,9
"CCA-LDA",20,20,9,12
"CCA-LDA",20,21,8,13
"CCA-LDA",20,22,12,11
"CCA-LDA",20,23,9,11
"CCA-LDA",20,24,10,11
"CCA-LDA",20,25,11,10
"CCA-LDA",20,26,11,15
"CCA-LDA",20,27,9,15
"CCA-LDA",20,28,9,11
"CCA-LDA",20,29,7,12
"CCA-LDA",20,30,10,12
"CCA-LDA",20,31,9,12
"CCA-LDA",20,32,6,13
"CCA-LDA",20,33,8,11
"CCA-LDA",20,34,6,13
"CCA-LDA",20,35,7,14
"CCA-LDA",20,36,8,12
"CCA-LDA",20,37,8,13
"CCA-LDA",20,38,8,12
"CCA-LDA",20,39,9,12
"CCA-LDA",20,40,4,12
"CCA-LDA",20,41,8,11
"CCA-LDA",20,42,8,13
"CCA-LDA",20,43,7,11
