"sim","method","n.dims","fn","fp"
3,"PCA-LDA",22,0.0648044319427974,0.0649116049320252
3,"PCA-LDA",23,0.0623624825113333,0.0620862509810528
3,"PCA-LDA",24,0.0539771521177362,0.0499014958780604
3,"PCA-LDA",25,0.0820055065993468,0.0207731706128835
3,"PCA-LDA",26,0.0532087669039842,0.00875569500911614
3,"PCA-LDA",27,0.0483374771805747,0.0160331228058779
3,"PCA-LDA",28,0.0364425723373188,0.0272048810258627
3,"PCA-LDA",29,0.0151520066404391,0.00804058060943714
3,"PCA-LDA",30,0.0184977559289721,0.00195476078140754
3,"PCA-LDA",31,0.00819887755318224,0.00179844837159478
3,"PCA-LDA",32,0.00629045179534044,0.00064887231100245
3,"PCA-LDA",33,0.00560109628167447,0.000747822987981209
3,"PCA-LDA",34,0.00620905195455772,0.000640669754915131
3,"PCA-LDA",35,0.00565975650383259,0.000412346711689669
3,"PCA-LDA",36,0.00162902197887281,0.0011180721447139
3,"PCA-LDA",37,3.55702298320177e-05,0.00134096342087935
3,"PCA-LDA",38,3.9106313774945e-08,0.000780205244605005
3,"PCA-LDA",39,2.42659274445515e-09,0.000576875702203768
4,"CCA-LDA",2,0.190050676164716,0.252407519750061
4,"CCA-LDA",3,0.113499135964364,0.221739760605081
4,"CCA-LDA",4,0.121029607727972,0.190327532371271
4,"CCA-LDA",5,0.126339547928447,0.19173390282665
4,"CCA-LDA",6,0.0663906146210414,0.123623071842403
4,"CCA-LDA",7,0.0663638828486787,0.125358251972873
4,"CCA-LDA",8,0.0490848199106593,0.13341034525854
4,"CCA-LDA",9,0.0690757087266581,0.129299146154199
4,"CCA-LDA",10,0.0632931111042039,0.132254530471699
4,"CCA-LDA",11,0.0748396888221912,0.144806682989678
4,"CCA-LDA",12,0.0719915782809869,0.172485998868285
4,"CCA-LDA",13,0.0417971086133993,0.0764175184359403
4,"CCA-LDA",14,0.0415844290654158,0.0761076038544202
4,"CCA-LDA",15,0.0246922845624706,0.0395791670794572
4,"CCA-LDA",16,0.0239374735404454,0.035196543715575
4,"CCA-LDA",17,0.022058826762935,0.0335312619378651
4,"CCA-LDA",18,0.0266430938147162,0.035800247007266
4,"CCA-LDA",19,0.0261397982716618,0.035364043682103
4,"CCA-LDA",20,0.0309469138989628,0.0313296381632419
4,"CCA-LDA",21,0.0332902398304938,0.0282853724222859
4,"CCA-LDA",22,0.0284161012812984,0.0258003748775802
4,"CCA-LDA",23,0.0137916247707418,0.0186545239100806
4,"CCA-LDA",24,0.0181677110778647,0.0145490761405596
4,"CCA-LDA",25,0.0192346739598485,0.0155352702079861
4,"CCA-LDA",26,0.0258877298086896,0.028103265100126
4,"CCA-LDA",27,0.0246106193724662,0.0281363599274013
4,"CCA-LDA",28,0.0144603976776952,0.0383438856537395
4,"CCA-LDA",29,0.0170184671848163,0.0437429988106847
4,"CCA-LDA",30,0.0125334332840626,0.0276645059714242
4,"CCA-LDA",31,0.00200604311992563,0.0490440422816395
4,"CCA-LDA",32,0.000136907065359018,0.117060030176616
4,"CCA-LDA",33,2.50462023222166e-05,0.0600073071000196
4,"CCA-LDA",34,0.000776471000542374,0.0288072321864685
4,"CCA-LDA",35,2.3034823088047e-09,0.022328989027719
4,"CCA-LDA",36,4.53211990026395e-06,0.00660015139483239
4,"CCA-LDA",37,7.33071420554721e-10,0.00287043254747304
4,"CCA-LDA",38,3.17733316144896e-09,3.55172565520164e-10
4,"CCA-LDA",39,1.43875958381909e-10,1.07729562807777e-05
4,"PCA-LDA",2,0.205174465584262,0.301648452784616
4,"PCA-LDA",3,0.204455701689918,0.294002876904239
4,"PCA-LDA",4,0.183966706970268,0.272133620937563
4,"PCA-LDA",5,0.163274522120655,0.200435818727807
4,"PCA-LDA",6,0.165879904225206,0.145957616718267
4,"PCA-LDA",7,0.164872519404627,0.147138670339762
4,"PCA-LDA",8,0.165133734871102,0.146929983180439
4,"PCA-LDA",9,0.170770546823866,0.14549464837879
4,"PCA-LDA",10,0.170963356921791,0.149290132640431
4,"PCA-LDA",11,0.168588574110358,0.155275024214715
4,"PCA-LDA",12,0.139728117907546,0.171608162653583
4,"PCA-LDA",13,0.135063323665328,0.171814225260099
4,"PCA-LDA",14,0.135451167151571,0.163788768897794
4,"PCA-LDA",15,0.134621760952684,0.1511853040347
4,"PCA-LDA",16,0.105889518263735,0.16931736909438
4,"PCA-LDA",17,0.123553141525982,0.155294362806754
4,"PCA-LDA",18,0.081047359218667,0.152356509224946
4,"PCA-LDA",19,0.0827991474929226,0.151045594169493
4,"PCA-LDA",20,0.0399825616512771,0.0846422212210724
4,"PCA-LDA",21,0.0380470580307341,0.0830384220882573
4,"PCA-LDA",22,0.0397756553096637,0.0497451347459895
4,"PCA-LDA",23,0.0439110603039113,0.0259222982599571
4,"PCA-LDA",24,0.0417477181982676,0.026979706740637
4,"PCA-LDA",25,0.00894461003193553,0.0566652590264612
4,"PCA-LDA",26,0.00372028145933985,0.0502370440231392
4,"PCA-LDA",27,0.00411758599231116,0.0495266565608197
4,"PCA-LDA",28,0.00218661332284692,0.0569507318641541
4,"PCA-LDA",29,0.00271846225604567,0.045941263482833
4,"PCA-LDA",30,0.00314853124612941,0.0146072841526153
4,"PCA-LDA",31,0.000550805448786392,0.00904910093768265
4,"PCA-LDA",32,0.000744788531156429,0.00740991790024531
4,"PCA-LDA",33,0.00175183539039562,0.00130506824454694
4,"PCA-LDA",34,0.00190080989619632,0.000402023603830368
4,"PCA-LDA",35,0.00151157148826606,0.000212972877282342
4,"PCA-LDA",36,4.82178847379571e-15,6.92953817445154e-19
4,"PCA-LDA",37,2.15688919949657e-15,1.02402945925349e-19
4,"PCA-LDA",38,2.33882193658231e-15,1.3782320194443e-19
4,"PCA-LDA",39,3.44596081747665e-35,1.91728034335372e-18
5,"CCA-LDA",2,0.164687846034167,0.283591859150746
5,"CCA-LDA",3,0.125208505099805,0.202778563977519
5,"CCA-LDA",4,0.119190317768878,0.183090705943742
5,"CCA-LDA",5,0.10541106165686,0.127480654491694
5,"CCA-LDA",6,0.0944203349506791,0.100419483767658
5,"CCA-LDA",7,0.10324894890078,0.0903002465799885
5,"CCA-LDA",8,0.083892758053744,0.0914982557509194
5,"CCA-LDA",9,0.083123598729359,0.0898668387749715
5,"CCA-LDA",10,0.083404749842403,0.0920424892643817
5,"CCA-LDA",11,0.0544033300403621,0.0557587742140934
5,"CCA-LDA",12,0.0593877163893313,0.0355895507415411
5,"CCA-LDA",13,0.059567277056215,0.0423808306830024
5,"CCA-LDA",14,0.0442868140478784,0.0237565463634105
5,"CCA-LDA",15,0.0432343894992745,0.0189808496988782
5,"CCA-LDA",16,0.0419207998628632,0.0122547362251959
5,"CCA-LDA",17,0.0414769131420007,0.0119970605269042
5,"CCA-LDA",18,0.0276248978249349,0.0354506657746716
5,"CCA-LDA",19,0.0287803000621674,0.0372005485682291
5,"CCA-LDA",20,0.0352421749815325,0.0320965010393477
5,"CCA-LDA",21,0.0363323831750657,0.0332155140336917
5,"CCA-LDA",22,0.0366299465153136,0.0282240319620233
5,"CCA-LDA",23,0.0391641451634574,0.0265877757215346
5,"CCA-LDA",24,0.0525361636715545,0.0334580230682987
5,"CCA-LDA",25,0.0564065526991156,0.0321383331974951
5,"CCA-LDA",26,0.0535617130399269,0.012865953585476
5,"CCA-LDA",27,0.0469131447405494,0.0144366109573078
5,"CCA-LDA",28,0.0444373228514463,0.0250301952856063
5,"CCA-LDA",29,0.0433814634689752,0.0265198685747308
5,"CCA-LDA",30,0.0396207759780704,0.0314143940006608
5,"CCA-LDA",31,0.00414421674346495,0.0170042488702348
5,"CCA-LDA",32,0.000292135832845496,0.0386911432989142
