"method","n.dims","left.out.obs","fn","fp"
"CCA-LDA",17,9,2,5
"CCA-LDA",17,10,2,5
"CCA-LDA",17,11,2,4
"CCA-LDA",17,12,0,1
"CCA-LDA",17,13,1,3
"CCA-LDA",17,14,2,3
"CCA-LDA",17,15,2,4
"CCA-LDA",17,16,4,4
"CCA-LDA",17,17,2,3
"CCA-LDA",17,18,1,6
"CCA-LDA",17,19,1,2
"CCA-LDA",17,20,2,3
"CCA-LDA",17,21,2,3
"CCA-LDA",17,22,2,1
"CCA-LDA",17,23,2,5
"CCA-LDA",17,24,2,4
"CCA-LDA",17,25,2,2
"CCA-LDA",17,26,2,3
"CCA-LDA",17,27,1,2
"CCA-LDA",17,28,1,3
"CCA-LDA",17,29,1,5
"CCA-LDA",17,30,0,4
"CCA-LDA",17,31,3,4
"CCA-LDA",17,32,2,3
"CCA-LDA",17,33,3,1
"CCA-LDA",17,34,4,4
"CCA-LDA",17,35,3,1
"CCA-LDA",17,36,0,3
"CCA-LDA",17,37,2,3
"CCA-LDA",17,38,2,5
"CCA-LDA",17,39,2,2
"CCA-LDA",17,40,2,3
"CCA-LDA",17,41,0,2
"CCA-LDA",17,42,0,3
"CCA-LDA",17,43,2,4
"CCA-LDA",18,1,2,5
"CCA-LDA",18,2,1,1
"CCA-LDA",18,3,1,7
"CCA-LDA",18,4,2,2
"CCA-LDA",18,5,0,5
"CCA-LDA",18,6,1,2
"CCA-LDA",18,7,0,3
"CCA-LDA",18,8,2,3
"CCA-LDA",18,9,2,4
"CCA-LDA",18,10,2,2
"CCA-LDA",18,11,2,4
"CCA-LDA",18,12,0,1
"CCA-LDA",18,13,1,3
"CCA-LDA",18,14,2,3
"CCA-LDA",18,15,2,4
"CCA-LDA",18,16,3,4
"CCA-LDA",18,17,2,2
"CCA-LDA",18,18,0,6
"CCA-LDA",18,19,1,2
"CCA-LDA",18,20,2,3
"CCA-LDA",18,21,2,3
"CCA-LDA",18,22,2,1
"CCA-LDA",18,23,1,2
"CCA-LDA",18,24,2,4
"CCA-LDA",18,25,2,2
"CCA-LDA",18,26,1,3
"CCA-LDA",18,27,1,2
"CCA-LDA",18,28,1,3
"CCA-LDA",18,29,2,5
"CCA-LDA",18,30,0,4
"CCA-LDA",18,31,2,5
"CCA-LDA",18,32,2,1
"CCA-LDA",18,33,2,0
"CCA-LDA",18,34,4,4
"CCA-LDA",18,35,1,2
"CCA-LDA",18,36,1,2
"CCA-LDA",18,37,2,3
"CCA-LDA",18,38,2,5
"CCA-LDA",18,39,2,2
"CCA-LDA",18,40,3,1
"CCA-LDA",18,41,0,2
"CCA-LDA",18,42,0,4
"CCA-LDA",18,43,2,2
"CCA-LDA",19,1,0,1
"CCA-LDA",19,2,1,1
"CCA-LDA",19,3,2,6
"CCA-LDA",19,4,2,3
"CCA-LDA",19,5,0,2
