"sim","method","n.dims","err","CV","Pi","Alt"
9,"CCA-LDA",38,0.047496413612165,1,1,2
9,"PCA-LDA",38,0.00126282137140189,1,1,2
90,"CCA-LDA",24,0.0596014588434375,1,1,2
90,"PCA-LDA",35,1.34676849013599e-10,1,1,2
91,"CCA-LDA",39,0.0624429216773621,1,1,2
91,"PCA-LDA",39,0.000843176967218639,1,1,2
92,"CCA-LDA",38,0.000481764148932611,1,1,2
92,"PCA-LDA",38,1.92170965783e-08,1,1,2
93,"CCA-LDA",33,0.0194421150039698,1,1,2
93,"PCA-LDA",36,0.0324473751195942,1,1,2
94,"CCA-LDA",37,0.020325108748769,1,1,2
94,"PCA-LDA",37,0.0320594690553603,1,1,2
95,"CCA-LDA",28,0.107915362270202,1,1,2
95,"PCA-LDA",24,0.130017055208561,1,1,2
96,"CCA-LDA",25,0.123623045509153,1,1,2
96,"PCA-LDA",30,0.0434691174453213,1,1,2
97,"CCA-LDA",35,0.0104903319546141,1,1,2
97,"PCA-LDA",33,0.0215991517660245,1,1,2
98,"CCA-LDA",37,0.0118066741749984,1,1,2
98,"PCA-LDA",31,0.0165809718722713,1,1,2
99,"CCA-LDA",28,0.0343013029611685,1,1,2
99,"PCA-LDA",36,0.00715924122353967,1,1,2
1,"CCA-LDA",27,0.0115822270538124,3,1,5
1,"PCA-LDA",35,0.00323105264033605,3,1,5
10,"CCA-LDA",36,0.101637606820765,3,1,5
10,"PCA-LDA",25,0.0600785806330737,3,1,5
100,"CCA-LDA",35,0.0321087224614082,3,1,5
100,"PCA-LDA",39,1.04337762368051e-07,3,1,5
101,"CCA-LDA",25,0.0659718335014215,3,1,5
101,"PCA-LDA",35,0.00676319383965865,3,1,5
102,"CCA-LDA",37,0.00208626086288876,3,1,5
102,"PCA-LDA",33,0.01041003822736,3,1,5
103,"CCA-LDA",37,0.0363702711921025,3,1,5
103,"PCA-LDA",39,4.26063411121569e-14,3,1,5
104,"CCA-LDA",30,0.0241679734370151,3,1,5
104,"PCA-LDA",35,0.0601211765419267,3,1,5
105,"CCA-LDA",3,0.350531739587219,3,1,5
105,"PCA-LDA",35,0.0668842985293825,3,1,5
106,"CCA-LDA",38,0.0114602059295442,3,1,5
